"Date","Time","Time zone","Name","Type","Status","Currency","Amount","Fees","Total","Exchange Rate","Receipt ID","Balance","Transaction ID","Item Title"
"18/08/2025","18:03:00","AEST","","General Currency Conversion","Completed","AUD","-8.04","0.00","-8.04",0.857946073764789,"","0.00","5A810973UP053504H",""
"18/08/2025","18:03:00","AEST","","General Currency Conversion","Completed","CAD","6.90","0.00","6.90",,"","0.00","79C60840AX138812F",""
"21/08/2025","08:48:20","AEST","Redkite","Express Checkout Payment","Completed","AUD","-54.00","0.00","-54.00",,"","-54.00","2AS53660MP086761V",""
"21/08/2025","08:48:20","AEST","","General Credit Card Deposit","Completed","AUD","54.00","0.00","54.00",,"","0.00","3KM88954L3635071D",""
"23/08/2025","15:23:42","AEST","Uber Australia Pty Ltd","General Authorisation","Pending","AUD","-45.45","0.00","-45.45",,"","0.00","2UC884015V883715C",""
"23/08/2025","15:58:56","AEST","Uber Australia Pty Ltd","Pre-approved Payment Bill User Payment","Completed","AUD","-45.45","0.00","-45.45",,"","-45.45","56356680PH9942700",""
"23/08/2025","15:58:56","AEST","","General Credit Card Deposit","Completed","AUD","45.45","0.00","45.45",,"","0.00","1LB43432JB073254N",""
"23/08/2025","15:58:56","AEST","Uber Australia Pty Ltd","General Authorisation","Completed","AUD","-45.45","0.00","-45.45",,"","0.00","2UC884015V883715C",""
"23/08/2025","18:22:32","AEST","Jagex Limited","General Authorisation","Pending","AUD","-19.99","0.00","-19.99",,"","0.00","3GX46991CC079014T",""
"23/08/2025","18:22:37","AEST","Jagex Limited","Pre-approved Payment Bill User Payment","Completed","AUD","-19.99","0.00","-19.99",,"","-19.99","8JF25286G5445752P",""
"23/08/2025","18:22:37","AEST","","General Credit Card Deposit","Completed","AUD","19.99","0.00","19.99",,"","0.00","6NB43285EB088611T",""
"23/08/2025","18:22:37","AEST","Jagex Limited","General Authorisation","Completed","AUD","-19.99","0.00","-19.99",,"","0.00","3GX46991CC079014T",""
